Quantity,Designator,Description,Comment,LibRef,Layer

"14","C1, C4, C5, C23, C32, C35, C37, C43, C47, C50, C52, C58, C60, C61","CAP CER 2.2UF 16V X5R 0603","2.2µF","GRM188R61C225KE15D","Bottom"
"2","C2, C3","CAP CER 10PF 50V NP0 0603","10pF","GRM1885C1H100JA01D","Bottom"
"16","C6, C7, C8, C9, C10, C22, C25, C28, C30, C31, C34, C41, C45, C46, C49, C56","CAP CER 0.1UF 25V X7R 0603","0.10µF","GRM188R71E104KA01D","Bottom"
"8","C11, C12, C13, C14, C15, C16, C17, C18","CAP, FP Series, 470 µF, 25 V, Radial Can - SMD, 10 mm","470uF","EEEFP1E471AP","Bottom"
"7","C19, C20, C21, C26, C40, C44, C55","CAP CER 4.7UF 35V X5R 0805","4.7uF","GRM219R6YA475KA73D","Bottom"
"1","C24","CAP CER 82PF 100V NP0 0603","82pF","GRM1885C2A820JA01D","Bottom"
"1","C27","CAP CER 270PF 50V NP0 0603","270pF","GRM1885C1H271JA01D","Bottom"
"4","C33, C36, C48, C51","CAP CER 0.022UF 25V X7R 0603","0.022µF","GRM188R71E223KA01D","Bottom"
"2","D1, D2","Rectifier Diode, Single, 40 V, 1 A, SOD-123FL, 2, 550 mV","","MBR140SFT1G","Bottom"
"1","J1","MICRO USB B, RECEPTACLE, SMT, RA, 5WAY","","10103594-0001LF","Bottom"
"1","L1","FERRITE BEAD, 0.1OHM, 2A, 0805","600ohm","2508056017Y2","Bottom"
"1","L2","INDUCTOR 22UH 1.4A 175.5 MOHM","22uH","NR6028T220M","Bottom"
"6","R1, R3, R26, R29, R44, R47","RES SMD 22 OHM 1% 1/10W 0603","22R","RC0603FR-0722RL","Bottom"
"8","R7, R9, R10, R11, R32, R33, R34, R53","RES SMD 1K OHM 1% 1/10W 0603","1k","RC0603FR-071KL","Bottom"
"2","R8, R14","RES SMD 47K OHM 1% 1/10W 0603","47K","RC0603FR-0747KL","Bottom"
"1","R15","RES SMD 220K OHM 1% 1/10W 0603","220k","RC0603FR-07220KL","Bottom"
"3","R16, R21, R39","RES SMD 18K OHM 1% 1/10W 0603","18k","RC0603FR-0718KL","Bottom"
"3","R20, R35, R50","RES SMD 3.3K OHM 1% 1/10W 0603","3.3k","RC0603FR-073K3L","Bottom"
"5","R27, R28, R45, R46, R56","RES SMD 0.0005 OHM 1% 3W 2512","500uOhm","CSR2512C0R0005F","Bottom"
"1","U7","ANALOG DEVICES Current Sense Amplifier, Bidirectional, 1, 130 µA, NSOIC","","AD8418WBRZ","Bottom"
"1","XT1","Crystal 8MHz ±10ppm 10pF 200 Ohm -10°C ~ 60°C Surface Mount 4-SMD, No Lead (DFN, LCC)","8 MHz","ABM3B-8.000MHZ-10-1-U-T","Bottom"
