Quantity,Designator,Description,Comment,LibRef,Layer

"7","C38, C39, C42, C53, C54, C57, C62","CAP CER 2200PF 50V NP0 0603","2200pF","GRM1885C1H222JA01D","Top"
"2","C59, C63","CAP CER 0.1UF 25V X7R 0603","0.10µF","GRM188R71E104KA01D","Top"
"1","D1","Rectifier Diode, Single, 40 V, 1 A, SOD-123FL, 2, 550 mV","","MBR140SFT1G","Top"
"2","FID1, FID3","1mm Fiducial with 2mm soldermask, 3mm keepout","FIDUCIAL","FIDUCIAL","Top"
"12","H1, H2, H3, H4, H5, H6, H7, H8, H9, H10, H11, H12","M3 Hole with no copper","","M3 Hole","Top"
"1","J2","Header, 5-Pin","","Header 5","Top"
"1","J3","Header, 18-Pin","Leftheader","Header 18","Top"
"1","J4","Header, 12-Pin","Rightheader","Header 12","Top"
"10","J7, J8, J11, J12, J13, J16, J17, J18, J21, J22","M3 Spade Terminal","","M3 Spade Terminal","Top"
"2","J9, J23","CONN TERM BLOCK 2POS 7.62MM","1868076","1868076","Top"
"2","J14, J19","CONN TERM BLOCK 3POS 7.62MM","1704936","1704936","Top"
"1","LED1","LED GREEN CLEAR 0603 SMD","Green","LTST-C190KGKT","Top"
"28","Q1, Q2, Q3, Q4, Q5, Q6, Q7, Q8, Q9, Q10, Q11, Q12, Q13, Q14, Q15, Q16, Q17, Q18, Q19, Q20, Q21, Q22, Q23, Q24, Q25, Q26, Q27, Q28","MOSFET N-CH 30V 13A SO8FL","","NTMFS4935NT1G","Top"
"2","R2, R4","RES SMD 22 OHM 1% 1/10W 0603","22R","RC0603FR-0722RL","Top"
"1","R6","RES SMD 10K OHM 1% 1/10W 0603","10K","RC0603FR-0710KL","Top"
"3","R12, R31, R49","THERMISTOR 10K OHM NTC 0402 SMD","10k","NCP15XH103F03RC","Top"
"1","R13","RES SMD 3.3K OHM 1% 1/10W 0603","3.3k","RC0603FR-073K3L","Top"
"14","R17, R18, R19, R22, R23, R24, R36, R37, R38, R40, R41, R42, R51, R54","RES SMD 2.2 OHM 1% 1/10W 0603","2.2R","RC0603FR-072R2L","Top"
"5","R25, R30, R43, R48, R55","RES SMD 120 OHM 1% 1/10W 0603","120R","RC0603FR-07120RL","Top"
"1","U2","ARM Cortex-M4 32-bit MCU+FPU, 210 DMIPS, 1024 kB Flash, 192 kB Internal RAM, 51 I/Os, 64-pin LQFP, -40 to 85 degC, Tray","","STM32F405RGT6","Top"
"2","U4, U5","MOTOR DRIVER, 3PH, 56HTSSOP","","DRV8301","Top"
"1","U6","DRIVER, MOSFET, HALF BRIDGE, WSON-8, 1A","","LM5109BSD/NOPB","Top"
